https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1655164800000,2022-06-14 00:00:00,DOGE/USDC,0.0534439,0.05787788,0.05,0.0556195,304.083512670342387,5655.03727618,0,0,0,0.05377215
1655078400000,2022-06-13 00:00:00,DOGE/USDC,0.063,0.0652988,0.05238037,0.0534439,858.8694137264009673,14965.87233941,0,0,0,0.05738853
1654992000000,2022-06-12 00:00:00,DOGE/USDC,0.07025923,0.07032727,0.063567,0.063567,801.542713111270672,12171.5705654,0,0,0,0.06585368
1654905600000,2022-06-11 00:00:00,DOGE/USDC,0.07524789,0.07651418,0.06847243,0.06959169,836.1906293860356188,11661.18738193,0,0,0,0.07170716
1654819200000,2022-06-10 00:00:00,DOGE/USDC,0.07839234,0.07974133,0.07419977,0.07521717,1046.44642551070484,13696.51248535,0,0,0,0.0764024
1654732800000,2022-06-09 00:00:00,DOGE/USDC,0.07923318,0.08098184,0.07869744,0.07944166,247.162682584050231,3106.6406373,0,0,0,0.07955947
1654646400000,2022-06-08 00:00:00,DOGE/USDC,0.08017351,0.08171031,0.0790654,0.07945991,438.4027867784916162,5484.77711014,0,0,0,0.07993083
1654560000000,2022-06-07 00:00:00,DOGE/USDC,0.08225526,0.08225526,0.07777553,0.08020501,754.908824721106498,9470.91731858,0,0,0,0.0797081
1654473600000,2022-06-06 00:00:00,DOGE/USDC,0.08114165,0.08437787,0.08105437,0.08260142,1242.9258976300926306,14998.66714634,0,0,0,0.08286909
1654387200000,2022-06-05 00:00:00,DOGE/USDC,0.08203191,0.08217937,0.08058244,0.08117697,961.6372718582444303,11761.95431507,0,0,0,0.08175829
1654300800000,2022-06-04 00:00:00,DOGE/USDC,0.08032508,0.08247882,0.07915125,0.08135623,381.1788258792750966,4685.06059734,0,0,0,0.08136049
1654214400000,2022-06-03 00:00:00,DOGE/USDC,0.08263036,0.08275912,0.07910429,0.08036953,383.0754009615777332,4770.88981204,0,0,0,0.08029433
