https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1556928000000,2019-05-04 00:00:00,ETH/USDC,164.95466795,168.36,158.23397743,161.62185158,716834.93563153,4398.11404393,0,0,0,162.9868913
1556841600000,2019-05-03 00:00:00,ETH/USDC,158.8209187,168.53892101,157.84990019,164.8274588,403608.39185734,2443.33599373,0,0,0,165.18742935
1556755200000,2019-05-02 00:00:00,ETH/USDC,158.40000001,160.00821302,156.03741336,158.84967857,119307.381142,753.32854448,0,0,0,158.37363659
1556668800000,2019-05-01 00:00:00,ETH/USDC,160.00000001,162,156.70016194,158.6090148,172297.6681615,1081.9865261,0,0,0,159.24197206
1556582400000,2019-04-30 00:00:00,ETH/USDC,152.58028539,161.58129736,152.58028539,160,405273.52430029,2541.03755399,0,0,0,159.49135567
1556496000000,2019-04-29 00:00:00,ETH/USDC,153.09136613,154.38956804,148.58128744,152.8867286,105556.55366088,692.49621446,0,0,0,152.42906958
1556409600000,2019-04-28 00:00:00,ETH/USDC,155.78236028,156.32,152.92116522,153.14195518,96809.01831388,626.08958307,0,0,0,154.62486668
1556323200000,2019-04-27 00:00:00,ETH/USDC,152.72267384,158,152.00500561,156.02659266,97797.55101428,630.76471062,0,0,0,155.04600902
1556236800000,2019-04-26 00:00:00,ETH/USDC,151.99999851,155.25330576,147.62746512,152.83178856,938104.51336619,6229.55261787,0,0,0,150.58938753
1556150400000,2019-04-25 00:00:00,ETH/USDC,165.55799192,166.17453864,147.00000013,151.99999851,672642.02968292,4359.32917071,0,0,0,154.29943538
1556064000000,2019-04-24 00:00:00,ETH/USDC,170.15501051,170.93911459,160.7,165.73627544,360674.93265733,2193.61344132,0,0,0,164.42046071
1555977600000,2019-04-23 00:00:00,ETH/USDC,171.4,176.51161959,169.10139316,171.19615714,321670.74723216,1859.87733547,0,0,0,172.95266795
1555891200000,2019-04-22 00:00:00,ETH/USDC,170.01761098,173.36066292,168.14685625,171.4,866628.47851237,5038.58000815,0,0,0,171.99855457
1555804800000,2019-04-21 00:00:00,ETH/USDC,173.98865631,174.07517064,166.50061051,170.16923008,199527.54315789,1181.9889993,0,0,0,168.80659911
1555718400000,2019-04-20 00:00:00,ETH/USDC,173.40000144,177.47249365,171.02234498,173.62839381,79256.71590026,453.77364995,0,0,0,174.66134472
1555632000000,2019-04-19 00:00:00,ETH/USDC,173.88074605,174.0772158,169.20343733,173.74393292,111676.88529119,648.22883572,0,0,0,172.28003312
1555545600000,2019-04-18 00:00:00,ETH/USDC,166.58952078,176.00000001,166.27450154,173.88074605,659941.33125351,3814.74125001,0,0,0,172.99766563
1555459200000,2019-04-17 00:00:00,ETH/USDC,166.55657073,168.18818462,164.85048605,166.76656662,189186.43692087,1137.06608925,0,0,0,166.38121452
1555372800000,2019-04-16 00:00:00,ETH/USDC,160.24298857,168.01687968,159.42,166.40261357,238336.65646128,1458.78671074,0,0,0,163.38005734
1555286400000,2019-04-15 00:00:00,ETH/USDC,168.27020195,169.11999931,156.00328051,160.51932071,268254.82338621,1650.54681879,0,0,0,162.52481924
