https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1689033600000,2023-07-11 00:00:00,BTC/USDC,30350.58,30689.81,30178.93,30603.44,171638.6,5.630575,100301.4,3.293168,1791,30483.63
1688947200000,2023-07-10 00:00:00,BTC/USDC,30191.05,30264.12,30009.12,30116.69,87528.65,2.903704,39697.14,1.316681,547,30143.85
1688860800000,2023-07-09 00:00:00,BTC/USDC,30284.7,30447.32,30100,30187.07,331998.07,10.96244,157494.26,5.200094,2519,30285.15
1688774400000,2023-07-08 00:00:00,BTC/USDC,30351.11,30385.35,30071.02,30284.7,320201.68,10.584913,157939.09,5.220853,2372,30250.84
1688688000000,2023-07-07 00:00:00,BTC/USDC,29894.09,30468.89,29720.14,30359.54,459375.71,15.197812,219439.66,7.259961,3502,30226.79
1688601600000,2023-07-06 00:00:00,BTC/USDC,30504.74,31500,29914.45,29937.7,246120.98,8.099424,116498.58,3.835457,1909,30389.43
1688515200000,2023-07-05 00:00:00,BTC/USDC,30803.76,30941.19,30249.42,30522.7,320191.14,10.468972,149892.93,4.899828,2707,30585.82
1688428800000,2023-07-04 00:00:00,BTC/USDC,31184.28,31346.04,30648.76,30812.67,383526.21,12.362512,193078.24,6.222524,2861,31023.9
1688342400000,2023-07-03 00:00:00,BTC/USDC,30636.73,31372.92,30572.71,31173.97,419348.9,13.585296,202278.48,6.553138,3231,30869.47
1688256000000,2023-07-02 00:00:00,BTC/USDC,30579.65,30794.55,30172.68,30630.85,390427.45,12.778894,195506.1,6.398497,3203,30552.58
1688169600000,2023-07-01 00:00:00,BTC/USDC,30472.03,30656.26,30317.44,30580.75,403070.82,13.208832,191362.7,6.269495,3223,30515.46
1688083200000,2023-06-30 00:00:00,BTC/USDC,30430.87,31273.76,29610.13,30474.98,419352.93,13.711986,209990.11,6.864798,3389,30585.48
1687996800000,2023-06-29 00:00:00,BTC/USDC,30082.62,30828.32,30049.99,30466.88,386935.14,12.720735,190382.08,6.256554,2828,30418.72
1687910400000,2023-06-28 00:00:00,BTC/USDC,30694.16,30694.16,29909.69,30084.43,318057.7,10.501436,164309.46,5.424574,2643,30287.88
1687824000000,2023-06-27 00:00:00,BTC/USDC,30226.7,30986.75,30193.69,30693.85,353481.34,11.577301,187574.56,6.142747,2549,30533.21
1687737600000,2023-06-26 00:00:00,BTC/USDC,30400.77,30641.61,29964.46,30226.8,364940.58,12.063144,184207.46,6.087839,2758,30252.99
1687651200000,2023-06-25 00:00:00,BTC/USDC,30515.8,31000,30286.71,30359.63,385897.54,12.621088,211707.28,6.921586,2768,30576.22
1687564800000,2023-06-24 00:00:00,BTC/USDC,30641.54,30768.55,30199.62,30516.16,269469.95,8.809068,143956.41,4.705117,2026,30590.35
1687478400000,2023-06-23 00:00:00,BTC/USDC,29863.53,31367.29,29815.44,30646.94,692553.25,22.842393,500270.27,16.498715,4128,30323.52
1687392000000,2023-06-22 00:00:00,BTC/USDC,29894.3,30392.03,29553.09,29834.33,393564.44,13.100902,203846.16,6.786081,3190,30041.56
1687305600000,2023-06-21 00:00:00,BTC/USDC,28264.47,30450,28000,29891.28,488996.14,16.704956,315589.35,10.753824,3497,29284.68
1687219200000,2023-06-20 00:00:00,BTC/USDC,26849.09,28295.58,25519.28,28267.96,516897.6,18.892023,333003.27,12.11367,3106,27372.35
1687132800000,2023-06-19 00:00:00,BTC/USDC,26317.03,26929.25,26299.41,26845.57,373451.24,14.097269,188487.49,7.113925,2768,26491.71
1687046400000,2023-06-18 00:00:00,BTC/USDC,26496.3,26709.08,26301.43,26334.69,420892.55,15.877054,229391.44,8.651685,3453,26509.65
1686960000000,2023-06-17 00:00:00,BTC/USDC,26336.64,26754.87,26160.01,26492.07,418858.15,15.823172,216610.74,8.182979,3042,26471.74
1686873600000,2023-06-16 00:00:00,BTC/USDC,25533.92,26447.83,25197.79,26350.43,276148.22,10.689967,143147.86,5.533826,2242,25837.91
1686787200000,2023-06-15 00:00:00,BTC/USDC,25096.24,25656.37,24842.13,25574.87,266008.63,10.605913,136374.23,5.436362,2138,25082.32
1686700800000,2023-06-14 00:00:00,BTC/USDC,25905.4,26064.19,24865.44,25151.19,410820.65,15.937989,196590.07,7.640068,2946,25780.96
1686614400000,2023-06-13 00:00:00,BTC/USDC,25900.88,26417.43,25727.3,25971.15,129370.55,4.98399,56448.02,2.174893,1062,25957.83
1686528000000,2023-06-12 00:00:00,BTC/USDC,25945.29,26162.45,25673.52,25923.6,212752.7,8.217413,97328.6,3.758894,1642,25890.65
1686441600000,2023-06-11 00:00:00,BTC/USDC,25887.54,26220.93,25692.12,25916.19,257642.83,9.965208,118331.37,4.575695,2245,25854.78
1686355200000,2023-06-10 00:00:00,BTC/USDC,26481.16,26544.51,25418.8,25856.51,398478.07,15.385335,196892.27,7.595159,3112,25903.65
1686268800000,2023-06-09 00:00:00,BTC/USDC,26519.7,26725.48,26309.13,26483.93,373724.65,14.089847,173244.99,6.531682,2945,26524.58
1686182400000,2023-06-08 00:00:00,BTC/USDC,26353.25,26795.33,26238.12,26504.52,499443.1,18.856969,246340.99,9.299187,3457,26486.2
1686096000000,2023-06-07 00:00:00,BTC/USDC,27228.79,27370.66,26150.62,26336.74,445935.87,16.704008,202402.77,7.575953,3536,26699.23
1686009600000,2023-06-06 00:00:00,BTC/USDC,25696.14,27337.56,25418.8,27240.49,432584.5,16.555456,209369.04,8.022008,3427,26140.91
1685923200000,2023-06-05 00:00:00,BTC/USDC,27133.15,27160.27,25439.23,25719.66,466496.17,17.64756,218510.44,8.266888,3685,26445.61
1685836800000,2023-06-04 00:00:00,BTC/USDC,27083.23,27442.95,26969.66,27136.52,433607.51,15.954518,211766.59,7.792222,3414,27177.94
1685750400000,2023-06-03 00:00:00,BTC/USDC,27241.63,27334.98,26951.56,27088.4,399114.55,14.691314,197037.83,7.251673,3263,27166.82
1685664000000,2023-06-02 00:00:00,BTC/USDC,26830.58,27328.86,26539.43,27237.39,362930.83,13.402167,178961.94,6.606419,3067,27080.76
1685577600000,2023-06-01 00:00:00,BTC/USDC,27240.73,27358.7,26637.42,26838.19,352968.45,13.109675,167630.15,6.22546,2911,26924.71
1685491200000,2023-05-31 00:00:00,BTC/USDC,27699.96,27845.47,26894.27,27240.52,289623.22,10.630683,133845.32,4.913034,2587,27246.53
1685404800000,2023-05-30 00:00:00,BTC/USDC,27790.11,28025.01,27596.56,27718.29,302131.28,10.862123,152524.48,5.483462,2273,27815.32
1685318400000,2023-05-29 00:00:00,BTC/USDC,28072.19,28430.58,27534.92,27754.35,245930.5,8.810651,133294.06,4.773715,2262,27914.05
1685232000000,2023-05-28 00:00:00,BTC/USDC,26882.39,28170.28,26782.86,28064.81,538676.4,19.667279,344204.83,12.567272,2629,27392.16
1685145600000,2023-05-27 00:00:00,BTC/USDC,26688.99,26902.83,26585.31,26873.87,318705.44,11.915699,159620.12,5.967288,2729,26746.76
1685059200000,2023-05-26 00:00:00,BTC/USDC,26479.9,26909.44,26325.3,26704.06,163372.9,6.148312,77871.46,2.929638,3216,26572.9
1684972800000,2023-05-25 00:00:00,BTC/USDC,26339.72,26609.69,25846.02,26494.61,165835.2,6.305484,65362.1,2.481384,2741,26301.02
1684886400000,2023-05-24 00:00:00,BTC/USDC,27205.13,27264.22,26131.79,26340.16,165510.31,6.216566,74380.53,2.798066,2785,26627.38
1684800000000,2023-05-23 00:00:00,BTC/USDC,26865.38,27480,26806.91,27226.28,174984.75,6.424343,81812.14,3.004399,3215,27238.57
1684713600000,2023-05-22 00:00:00,BTC/USDC,26773.44,27097.27,26553.53,26864.9,168033.82,6.264961,81713.24,3.046044,3370,26821.53
1684627200000,2023-05-21 00:00:00,BTC/USDC,27108.98,27277.7,26686.7,26774.3,218132.07,8.079145,102793.17,3.807087,4282,27000.14
1684540800000,2023-05-20 00:00:00,BTC/USDC,26898.08,27168.07,26825.22,27115.22,252138.29,9.357552,121001.33,4.490563,5085,26945.14
1684454400000,2023-05-19 00:00:00,BTC/USDC,26856.95,27177.4,26718.18,26895.27,297490.53,11.06687,142138.35,5.287104,5592,26881.25
1684368000000,2023-05-18 00:00:00,BTC/USDC,27400,27471.09,26453.1,26856.15,322401.36,11.853188,208865.08,7.66918,4206,27201.94
1684281600000,2023-05-17 00:00:00,BTC/USDC,27059.98,27475.81,26585.31,27400,342631.19,12.663348,198833.03,7.343863,5068,27058.46
1684195200000,2023-05-16 00:00:00,BTC/USDC,27219.83,27355.13,26892.44,27059.98,218715.57,8.074568,106418.02,3.928829,3982,27087.13
1684108800000,2023-05-15 00:00:00,BTC/USDC,26921.67,27686.3,26745.55,27191.41,291631.1,10.660288,135016.05,4.937975,4586,27357.68
1684022400000,2023-05-14 00:00:00,BTC/USDC,26793.41,27236.89,26611.54,26949.07,280673.41,10.434539,107421.95,3.994227,4952,26898.77
1683936000000,2023-05-13 00:00:00,BTC/USDC,26825.57,27006.1,26705.4,26794.05,243436.2,9.06786,116397.24,4.33561,4771,26846.14
1683849600000,2023-05-12 00:00:00,BTC/USDC,27007.65,27120.42,25906.42,26830.45,253846.62,9.575021,112374.83,4.240453,4436,26513.18
1683763200000,2023-05-11 00:00:00,BTC/USDC,27630.48,27746.97,26777.17,26993.99,374676.63,13.751254,121570.36,4.449785,4319,27248.58
1683676800000,2023-05-10 00:00:00,BTC/USDC,27666.9,28357.52,26871.02,27635.09,300594.36,10.888299,119510.4,4.315745,3875,27611.58
1683590400000,2023-05-09 00:00:00,BTC/USDC,27764.81,27849.8,27417.74,27665.56,209482.15,7.58045,99003.57,3.582796,4726,27634.68
1683504000000,2023-05-08 00:00:00,BTC/USDC,28437.97,28672.74,27336.01,27708.15,181096.32,6.510907,71931.51,2.582879,3717,27817.48
1683417600000,2023-05-07 00:00:00,BTC/USDC,28897.81,29147.9,28425.32,28425.32,113203.22,3.91513,54397.9,1.881092,3703,28914.46
1683331200000,2023-05-06 00:00:00,BTC/USDC,29504.15,29864.75,28431.3,28891.67,139754.04,4.788142,64303.05,2.207626,3979,29192.43
1683244800000,2023-05-05 00:00:00,BTC/USDC,28873.64,29960.99,28829.85,29520.16,177030.66,6.044151,60429.58,2.061327,3779,29290.81
1683158400000,2023-05-04 00:00:00,BTC/USDC,29037.52,29399.28,28698.24,28858.55,140281.24,4.835439,53421.31,1.84206,3389,29011.58
1683072000000,2023-05-03 00:00:00,BTC/USDC,28692.74,29259.79,28156.61,29036.31,114889.96,4.018124,58893.76,2.058809,3110,28594.56
1682985600000,2023-05-02 00:00:00,BTC/USDC,28058.32,28896.84,27922.96,28685.94,156585.55,5.549258,67609.92,2.393411,3856,28220.31
1682899200000,2023-05-01 00:00:00,BTC/USDC,29336.25,29366.85,27711.44,28113.02,240868.36,8.467735,61146.81,2.151064,3705,28450.15
1682812800000,2023-04-30 00:00:00,BTC/USDC,29274.7,29966.24,29081.43,29226.75,134924.59,4.591507,67845.82,2.307957,3584,29387.13
1682726400000,2023-04-29 00:00:00,BTC/USDC,29298.29,29449.13,29081.4,29273.76,121112.39,4.12964,56701.5,1.933251,3977,29327.72
1682640000000,2023-04-28 00:00:00,BTC/USDC,29532.29,29633.52,28936.77,29333.33,129550.88,4.414431,53786.05,1.831701,3765,29347.71
