https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1578182400000,2020-01-05 00:00:00,LTC/USDC,42.8992553,44.50530833,42.63272402,43.29455117,88727.90904639,2057.91612619,0,0,0,43.11541559
1578096000000,2020-01-04 00:00:00,LTC/USDC,42.22,42.82389168,41.82561919,42.81396122,38496.69141525,909.18736971,0,0,0,42.3418678
1578009600000,2020-01-03 00:00:00,LTC/USDC,39.28624687,42.25,38.8869589,42.06507686,162308.4136177,3992.22523065,0,0,0,40.6561264
1577923200000,2020-01-02 00:00:00,LTC/USDC,41.42889116,41.59532701,39,39.28576648,71820.93501234,1802.37682938,0,0,0,39.84790186
1577836800000,2020-01-01 00:00:00,LTC/USDC,41.03308887,41.92210995,41.03308887,41.47538305,4155.86270914,100.00488438,0,0,0,41.5565973
1577750400000,2019-12-31 00:00:00,LTC/USDC,42.13671511,42.95935683,40.8512093,41.17486442,77529.71512614,1860.256597,0,0,0,41.67689298
1577664000000,2019-12-30 00:00:00,LTC/USDC,42.97925624,44,41.76881485,42.30155498,231388.65248632,5391.76967406,0,0,0,42.91515893
1577577600000,2019-12-29 00:00:00,LTC/USDC,42.60920817,43.65,42.08453179,43.11226776,103787.42700792,2425.58103072,0,0,0,42.78868679
1577491200000,2019-12-28 00:00:00,LTC/USDC,40.89256863,43.62431572,40.89256863,42.70901932,96974.14891835,2309.61432293,0,0,0,41.98716121
1577404800000,2019-12-27 00:00:00,LTC/USDC,39.90381419,41.21289985,39.56903307,40.9026969,106280.09328941,2625.48448918,0,0,0,40.48018326
1577318400000,2019-12-26 00:00:00,LTC/USDC,39.87149658,41.55316676,39.64567754,39.81351066,108082.4835967,2673.47493779,0,0,0,40.42771528
1577232000000,2019-12-25 00:00:00,LTC/USDC,40.13677479,40.30333107,39.41000011,40.27983587,10077.34390543,251.96752188,0,0,0,39.9946145
1577145600000,2019-12-24 00:00:00,LTC/USDC,40.51284094,41.06038651,39.75688531,40.14685938,113769.53499519,2816.63419689,0,0,0,40.39201651
1577059200000,2019-12-23 00:00:00,LTC/USDC,42.01242509,42.66170544,40.24640468,40.69742702,220889.86826652,5284.51044205,0,0,0,41.79949508
